Exemplar;Dimension 1;Dimension 2;Dimension 3;Dimension 4;Dimension 5;Dimension 6
P1;-1,5597;0,0317;0,4041;-0,0806;0,7044;-0,6498
O1;-0,3957;0,4043;-0,5009;1,3874;2,9568;1,3244
O2;-0,4298;0,7670;0,1511;2,7576;-0,3260;-0,2771
O3;-1,7295;0,3513;0,6034;-1,0291;0,2050;-0,1439
O4;-1,0242;0,5849;0,8259;-0,7610;0,1401;2,1197
O5;-1,7020;0,4002;0,7423;-0,7992;-0,0752;-0,1777
O6;-1,7318;0,7908;0,6102;-1,3870;0,8574;-1,2062
Nl;-0,6580;1,3329;1,3447;0,5528;1,2421;-0,1631
Nm;-0,2911;-1,7077;1,2002;2,1050;-0,1559;-0,6702
Nh;-0,7722;0,7045;-0,8799;-0,2577;-0,9780;-2,2524
